Year,Name of State/UT,Wind,Solar,Small Hydro,Bio Power,Large Hydro,Total
All India RE Generation Year 2018-19,Chandigarh,0,13.51,0,0,0,13.51
All India RE Generation Year 2018-19,Delhi,0,10.83,0,276.81,0,287.64
All India RE Generation Year 2018-19,Haryana,0,72.47,250.84,339.05,0,662.36
All India RE Generation Year 2018-19,Himachal Pradesh,0,0,2287.93,0,35908.55,38196.48
All India RE Generation Year 2018-19,Jammu and Kashmir,0,0,312.2,0,16387.07,16699.27
All India RE Generation Year 2018-19,Ladkh,0,0,0,0,154.51,154.51
All India RE Generation Year 2018-19,Punjab,0,1492.9,351.22,601.08,4335.4,6780.6
All India RE Generation Year 2018-19,Rajasthan,6403.78,5109.35,5.18,345.09,698.4,12561.8
All India RE Generation Year 2018-19,Uttar Pradesh,0,1235.08,31.29,4428.44,1176.36,6871.17
All India RE Generation Year 2018-19,Uttarakhand,0,318.29,676.79,109.89,13741.12,14846.09
All India RE Generation Year 2018-19,Chhattisgarh,0,335.15,80.05,529.89,243.08,1188.18
All India RE Generation Year 2018-19,Gujarat,11389.29,2410.32,86.19,80.37,1042.81,15008.99
All India RE Generation Year 2018-19,Madhya Pradesh,4965.95,2982.29,145.47,163.45,3396.67,11653.82
All India RE Generation Year 2018-19,Maharashtra,7575.14,2206.62,759.07,4434.06,5076.86,20051.74
All India RE Generation Year 2018-19,Dadra and Nagar Haveli,0,5.76,0,0,0,5.76
All India RE Generation Year 2018-19,Daman and Diu,0,18.94,0,0,0,18.94
All India RE Generation Year 2018-19,Goa,0,0,0,0,0,0
All India RE Generation Year 2018-19,Andhra Pradesh,8869.85,4965.96,193.12,521.58,2272.94,16823.45
All India RE Generation Year 2018-19,Telangana,274.83,6312.26,51.17,407.73,1744.61,8790.6
All India RE Generation Year 2018-19,Karnataka,9778.25,7575.83,1803.09,2500.37,12187.69,33845.23
All India RE Generation Year 2018-19,Kerala,107.94,110.84,551.55,0,7320.21,8090.53
All India RE Generation Year 2018-19,Tamil Nadu,12600.85,3554.5,347.97,395.17,5281.59,22180.08
All India RE Generation Year 2018-19,Lakshadweep,0,1.11,0,0,0,1.11
All India RE Generation Year 2018-19,Puducherry,0,2.58,0,0,0,2.58
All India RE Generation Year 2018-19,Andaman Nicobar,0,13.86,16.57,0,0,30.43
All India RE Generation Year 2018-19,Bihar,12.28,179.89,27.74,268.23,0,488.14
All India RE Generation Year 2018-19,Jharkhand,0,19.15,1.76,0.81,180.98,202.7
All India RE Generation Year 2018-19,Orissa,58.23,263.03,266.1,66.08,6777.45,7430.88
All India RE Generation Year 2018-19,Sikkim,0,0,28.11,0,9022.07,9050.18
All India RE Generation Year 2018-19,West Bengal,0,40.65,161.85,1283.69,2919.81,4406
All India RE Generation Year 2018-19,Arunachal Pradesh,0,1.2,0.55,0,1399.02,1400.77
All India RE Generation Year 2018-19,Assam,0,6.67,14.06,0,1694.36,1715.09
All India RE Generation Year 2018-19,Manipur,0,1.88,0,0,602.61,604.49
All India RE Generation Year 2018-19,Meghalaya,0,0,50.51,0,929.53,980.04
All India RE Generation Year 2018-19,Mizoram,0,0.12,39.96,0,168.44,208.52
